threshold,sensitivity,specificity,precision,f1_score,balanced_accuracy,false_negatives,false_positives,fn_rate,fp_rate,ece_at_model_level,uvif_threshold_utility
0.55,0.9974358974358974,0.6538461538461539,0.8276595744680851,0.9046511627906977,0.8256410256410256,1,81,0.002564102564102564,0.34615384615384615,0.320399845421959,0.7549861132261088
0.56,0.9974358974358974,0.6538461538461539,0.8276595744680851,0.9046511627906977,0.8256410256410256,1,81,0.002564102564102564,0.34615384615384615,0.320399845421959,0.7549861132261088
0.5700000000000001,0.9974358974358974,0.6581196581196581,0.8294243070362474,0.9057043073341094,0.8277777777777777,1,80,0.002564102564102564,0.3418803418803419,0.320399845421959,0.7569045212885713
0.5800000000000001,0.9974358974358974,0.6666666666666666,0.8329764453961456,0.9078179696616102,0.832051282051282,1,78,0.002564102564102564,0.3333333333333333,0.320399845421959,0.760745844383134
0.59,0.9974358974358974,0.6666666666666666,0.8329764453961456,0.9078179696616102,0.832051282051282,1,78,0.002564102564102564,0.3333333333333333,0.320399845421959,0.760745844383134
0.6,0.9974358974358974,0.6794871794871795,0.8383620689655172,0.9110070257611241,0.8384615384615385,1,75,0.002564102564102564,0.32051282051282054,0.320399845421959,0.7665192258206465
0.61,0.9948717948717949,0.6794871794871795,0.838012958963283,0.9097303634232122,0.8371794871794872,2,75,0.005128205128205128,0.32051282051282054,0.320399845421959,0.7646086933029578
0.62,0.9948717948717949,0.6794871794871795,0.838012958963283,0.9097303634232122,0.8371794871794872,2,75,0.005128205128205128,0.32051282051282054,0.320399845421959,0.7646086933029578
0.63,0.9948717948717949,0.6837606837606838,0.8398268398268398,0.9107981220657277,0.8393162393162393,2,74,0.005128205128205128,0.3162393162393162,0.320399845421959,0.7665366657245952
0.64,0.9948717948717949,0.6837606837606838,0.8398268398268398,0.9107981220657277,0.8393162393162393,2,74,0.005128205128205128,0.3162393162393162,0.320399845421959,0.7665366657245952
0.65,0.9923076923076923,0.6837606837606838,0.8394793926247288,0.9095182138660399,0.838034188034188,3,74,0.007692307692307693,0.3162393162393162,0.320399845421959,0.7646258957476587
0.66,0.9923076923076923,0.688034188034188,0.841304347826087,0.9105882352941177,0.8401709401709402,3,73,0.007692307692307693,0.31196581196581197,0.320399845421959,0.7665558687378007
0.67,0.9923076923076923,0.688034188034188,0.841304347826087,0.9105882352941177,0.8401709401709402,3,73,0.007692307692307693,0.31196581196581197,0.320399845421959,0.7665558687378007
0.68,0.9923076923076923,0.6965811965811965,0.8449781659388647,0.9127358490566038,0.8444444444444444,3,71,0.007692307692307693,0.3034188034188034,0.320399845421959,0.7704205365105431
0.6900000000000001,0.9923076923076923,0.6965811965811965,0.8449781659388647,0.9127358490566038,0.8444444444444444,3,71,0.007692307692307693,0.3034188034188034,0.320399845421959,0.7704205365105431
0.7000000000000001,0.9923076923076923,0.7051282051282052,0.8486842105263158,0.9148936170212766,0.8487179487179488,3,69,0.007692307692307693,0.2948717948717949,0.320399845421959,0.7742915613848148
0.7100000000000001,0.9923076923076923,0.7094017094017094,0.8505494505494505,0.9159763313609467,0.8508547008547009,3,68,0.007692307692307693,0.2905982905982906,0.320399845421959,0.7762294810349619
0.72,0.9923076923076923,0.7222222222222222,0.8561946902654868,0.9192399049881235,0.8572649572649573,3,65,0.007692307692307693,0.2777777777777778,0.320399845421959,0.7820529825236234
0.73,0.9923076923076923,0.7264957264957265,0.8580931263858093,0.920332936979786,0.8594017094017095,3,64,0.007692307692307693,0.27350427350427353,0.320399845421959,0.7839974292361476
